Tm,#Bat,BatAge,R/G,G,PA,AB,Runs,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,42,27.3,3.59,34,1239,1087,122,222,53,4,35,114,16,7,127,308,.204,.293,.357,.649,87,388,15,12,5,8,3,224
Atlanta Braves,35,28.7,4.21,34,1249,1113,143,257,61,1,43,135,16,2,110,318,.231,.305,.403,.708,97,449,23,14,0,12,1,215
Baltimore Orioles,37,28.0,3.32,34,1271,1134,113,262,54,3,24,108,20,6,102,303,.231,.305,.347,.653,94,394,22,23,3,8,3,259
Boston Red Sox,35,28.9,3.79,33,1239,1120,125,264,70,2,20,124,5,5,83,271,.236,.291,.355,.646,87,398,22,12,5,19,3,221
Chicago Cubs,36,28.8,3.97,32,1173,1044,127,242,51,5,23,114,10,9,107,288,.232,.311,.356,.667,91,372,30,15,1,6,4,204
Chicago White Sox,34,29.4,3.62,32,1164,1061,116,244,46,1,29,108,18,1,74,230,.230,.287,.357,.644,91,379,24,14,7,8,2,200
Cincinnati Reds,44,29.9,4.15,34,1235,1100,141,240,60,2,29,137,14,6,104,312,.218,.293,.355,.649,77,391,23,17,1,10,0,191
Cleveland Guardians,35,26.1,4.88,32,1224,1098,156,278,55,9,30,153,17,6,104,241,.253,.320,.402,.722,115,441,26,9,3,10,0,215
Colorado Rockies,31,29.6,4.64,33,1236,1111,153,289,59,6,33,143,7,7,96,260,.260,.325,.413,.738,102,459,24,15,4,10,1,226
Detroit Tigers,38,28.9,2.79,34,1213,1098,95,242,44,4,15,93,4,4,97,285,.220,.288,.309,.597,81,339,28,10,2,6,2,219
Houston Astros,32,29.7,4.21,34,1275,1126,143,255,56,4,44,140,15,6,129,277,.226,.308,.401,.709,110,451,17,8,2,9,4,236
Kansas City Royals,34,28.7,3.55,31,1144,1040,110,231,40,8,18,100,19,4,86,224,.222,.285,.328,.613,81,341,23,9,2,7,2,208
Los Angeles Angels,41,28.4,4.94,36,1343,1192,178,294,56,4,48,172,22,11,128,322,.247,.323,.421,.744,120,502,26,10,7,6,6,222
Los Angeles Dodgers,35,29.7,5.28,32,1217,1064,169,256,60,6,31,154,17,3,134,261,.241,.327,.396,.723,106,421,21,8,0,11,2,210
Miami Marlins,33,29.5,4.18,33,1240,1107,138,264,46,7,34,132,17,6,105,294,.238,.313,.385,.697,101,426,19,18,0,8,2,230
Milwaukee Brewers,32,29.7,4.82,34,1260,1123,164,264,56,4,46,157,21,9,110,317,.235,.310,.415,.725,106,466,20,17,0,10,2,208
Minnesota Twins,41,27.0,3.94,34,1245,1106,134,266,60,1,35,126,6,6,113,293,.241,.318,.392,.709,114,433,32,16,1,8,1,223
New York Mets,35,30.2,4.37,35,1325,1168,153,293,54,4,28,142,15,6,117,263,.251,.329,.376,.704,106,439,25,24,4,12,2,252
New York Yankees,32,30.6,4.91,33,1241,1089,162,269,47,2,48,154,21,7,121,280,.247,.326,.426,.752,124,464,24,13,4,13,4,222
Oakland Athletics,40,28.7,3.36,36,1273,1149,121,231,49,6,22,112,22,5,99,318,.201,.269,.312,.580,78,358,28,11,4,10,3,189
Philadelphia Phillies,33,28.9,4.94,34,1272,1147,168,294,61,6,44,160,22,3,99,299,.256,.318,.435,.753,116,499,30,11,1,14,2,209
Pittsburgh Pirates,39,27.5,3.58,33,1204,1081,118,252,45,7,27,108,11,6,107,289,.233,.303,.363,.665,93,392,25,5,1,10,1,217
San Diego Padres,35,28.5,4.50,34,1288,1114,153,256,50,7,30,149,14,5,135,287,.230,.319,.368,.687,105,410,26,18,4,15,6,237
Seattle Mariners,38,26.8,3.85,34,1278,1124,131,257,45,6,32,127,18,8,127,283,.229,.315,.365,.679,105,410,21,17,1,7,5,247
San Francisco Giants,44,30.1,4.94,33,1254,1092,163,268,43,2,33,153,20,6,128,267,.245,.329,.379,.708,103,414,29,17,0,17,2,227
St. Louis Cardinals,33,29.4,4.30,33,1225,1093,142,262,58,4,29,137,28,3,104,241,.240,.312,.380,.692,104,415,25,16,1,10,1,219
Tampa Bay Rays,40,27.0,4.21,34,1252,1132,143,266,54,8,31,134,28,8,103,298,.235,.303,.379,.682,110,429,19,10,2,5,4,216
Texas Rangers,35,29.3,3.88,32,1166,1058,124,228,34,3,29,115,24,8,92,253,.216,.282,.336,.617,85,355,14,8,1,7,2,192
Toronto Blue Jays,36,27.0,3.82,34,1243,1119,130,263,56,0,37,129,15,5,90,283,.235,.298,.384,.682,102,430,23,16,3,13,4,219
Washington Nationals,34,29.6,4.29,35,1305,1172,150,300,57,1,26,143,10,5,103,259,.256,.320,.373,.693,105,437,36,11,8,8,3,225
